repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
BraveGroup/LAW,BraveGroup,Organization,req,385,30,10,3,2,liyingyanUCAS|liyingyan,0,,,21,1,877,Python,Apache-2.0,2024-06-12,2025-06-29,False,False,False,,,(ICLR2025) Enhancing End-to-End Autonomous Driving with Latent World Model,ok,2026-08-14,,,,,,,,,,,
mkurman/zorai,mkurman,User,ct|ev|mt|st,320,26,4,1561,5,mkurman|zorai-agent|Copilot|dependabot[bot]|kriptoburak,196,,,1,143,42428,Rust,MIT,2026-03-10,2026-07-22,False,False,False,https://zorai.app/,,"Zorai is a persistent, multi-agent, auditable, learning execution platform where the daemon owns work, memory, approvals, tools, and long-running goals.",ok,2026-08-14,,,,,,,,,,,
sdv-dev/SDGym,sdv-dev,Organization,,310,68,12,631,26,csala|sdv-team|R-Palazzo|katxiao|leix28,0,sdgym,,23,386,4485,Python,NOASSERTION,2019-02-27,2026-08-18,False,False,False,,synthetic-data|benchmark|tabular-data|synthetic-data-vault|sdgym-synthesizers|generative-adversarial-network|deep-learning|generative-ai|generative-models,Benchmarking synthetic data generation methods.,ok,2026-08-18,,,,,,,,,,,
opendp/smartnoise-sdk,opendp,Organization,ct|gym,301,83,23,730,35,joshua-oss|ankit-oss|eddiestudies|lurosenb|Eduardo de Leon,0,,,29,397,97869,Python,MIT,2019-09-23,2026-07-01,False,False,False,,privacy|differential-privacy|opendp|smartnoise,Tools and service for differentially private processing of tabular and relational data,ok,2026-08-14,,,,,,,,,,,
sdv-dev/TGAN,sdv-dev,Organization,,298,90,25,95,6,ManuelAlvarezC|csala|leix28|JDTheRipperPC|pvk-developer,0,tgan,,32,8,8218,Python,MIT,2018-05-24,2022-11-26,False,False,False,,synthetic-data|tabular-data|generative-adversarial-network|synthesizing-tabular-data,Generative adversarial training for generating synthetic  tabular data.,ok,2026-08-18,,,,,,,,,,,
sdv-dev/SDMetrics,sdv-dev,Organization,,263,53,9,799,18,katxiao|amontanez24|csala|fealho|sdv-team,0,sdmetrics,,62,516,3423,Python,MIT,2020-03-20,2026-08-17,False,False,False,https://docs.sdv.dev/sdmetrics,synthetic-data|metrics|quality,Metrics to evaluate quality and efficacy of synthetic datasets.,ok,2026-08-18,,,,,,,,,,,
DAAF-Contribution-Community/daaf,DAAF-Contribution-Community,Organization,gc|md|st,228,34,6,657,2,DAAF Container|brhkim,0,,,2,12,38017,Python,LGPL-3.0,2026-02-07,2026-08-10,False,False,False,https://daaf.openaugments.org,,"The Data Analyst Augmentation Framework (DAAF) is a free, open-source toolkit that turns Claude Code into a rigorous quantitative research engine with you at the helm: every step auditable, every output verifiable, every decision yours to make. Built by researchers, for researchers.",ok,2026-08-14,,,,,,,,,,,
mukul975/Privacy-Data-Protection-Skills,mukul975,User,ct|ev|gc|md|st,223,52,6,24,1,mukul975,0,,,0,0,4648,Python,Apache-2.0,2026-03-14,2026-03-16,False,False,False,,ai-agents|ccpa|compliance|data-privacy|data-protection|gdpr|hipaa|lgpd|privacy|privacy-by-design|privacy-engineering|ai-compliance|data-governance|eu-ai-act|machine-readable|open-source-compliance|pipl|privacy-automation|regulatory-compliance|dpdp-act,"282+ structured privacy & data protection skills for AI agents. GDPR, CCPA, EU AI Act, HIPAA, LGPD, PIPL, DPDP Act.",ok,2026-08-14,,,,,,,,,,,
aidecentralized/nanda-servers,aidecentralized,Organization,ct|md|req|st,195,41,1,95,18,pradyumnachari|tremblerz|Pradyumna Chari|mariagorskikh|JordanKaleRiis,0,,,1,43,7633,Python,Apache-2.0,2025-04-06,2025-04-23,False,False,False,,,A catalogue of existing Nanda servers,ok,2026-08-14,,,,,,,,,,,
oracle-devrel/technology-engineering,oracle-devrel,Organization,ct|md|st,179,112,27,9524,199,AlexanderHodicke|witold-swierzy|uschwinn|fhasan80|lingutlap,169,,,1,3348,1641604,Jupyter Notebook,UPL-1.0,2023-06-09,2026-08-14,False,False,False,,,technology-engineering,ok,2026-08-14,,,,,,,,,,,
Diyago/ML-DL-scripts,Diyago,User,ct,178,79,9,188,3,Diyago|Insaf|CrafterKolyan,0,,,0,7,292517,Jupyter Notebook,Apache-2.0,2016-03-17,2026-03-07,False,False,False,,python|machine-learning|machine-learning-algorithms|statistics|classification|kaggle|regression-models|text-analysis|clustering|ml|deep-learning|nlp|deployment,The repository provides usefull python scripts for ML and data analysis,ok,2026-08-14,,,,,,,,,,,
AzureCosmosDB/CosmosAIGraph,AzureCosmosDB,Organization,ct,157,54,13,187,5,alekseys|cjoakim|microsoftopensource|jaliyaudagedara|microsoft-github-operations[bot],0,,,5,10,411355,Python,MIT,2024-09-19,2026-07-22,False,False,False,,,CosmosAIGraph implementation of OmniRAG pattern,ok,2026-08-14,,,,,,,,,,,
jim-schwoebel/allie,jim-schwoebel,User,ct,153,34,4,3420,1,jim-schwoebel,0,,,16,181,287915,Python,Apache-2.0,2019-05-26,2025-04-02,False,False,False,,machine-learning|deep-learning|machine-learning-library|machine-learning-api|automl|tpot|data-augmentation|data-cleaning|datasets|machine-learning-models|ludwig|voice-computing|model-compression|model-deployment|data-visualization|data-cleaning-pipeline|data-transformation|autokeras|autopytorch,"🤖 An automated machine learning framework for audio, text, image, video, or .CSV files (50+ featurizers and 15+ model trainers). Python 3.6 required.",ok,2026-08-14,,,,,,,,,,,
sdv-dev/RDT,sdv-dev,Organization,,135,27,13,1253,46,amontanez24|csala|ManuelAlvarezC|fealho|sdv-team,0,rdt,,38,652,2601,Python,NOASSERTION,2018-01-29,2026-08-10,False,False,False,,,A library of Reversible Data Transforms,ok,2026-08-18,,,,,,,,,,,
Keiji-AI/PyTrial,Keiji-AI,Organization,ct|rdt|sm,128,26,2,99,4,RyanWangZf|btheodorou|Vincent-1125|Zifeng,0,PyTrial,,4,23,6153,Python,BSD-2-Clause,2022-11-29,2026-08-01,False,False,False,https://pytrial.readthedocs.io/en/latest/,clinical-trials|drug-development|artificial-intelligence|data-mining|drug-discovery|machine-learning|natural-language-processing,PyTrial: A Comprehensive Platform for Artificial Intelligence for Drug Development,ok,2026-08-14,,,,,,,,,,,
omer-metin/skills-for-antigravity,omer-metin,User,ct|ev|gc|md|st,126,24,2,1,1,omer-metin,0,,,1,1,5008,Python,Apache-2.0,2026-01-22,2026-01-22,False,False,False,,ai-agents|antigravity|antigravity-ide|skills,,ok,2026-08-14,,,,,,,,,,,
sdv-dev/DeepEcho,sdv-dev,Organization,,125,17,7,367,13,csala|sdv-team|amontanez24|k15z|fealho,0,deepecho,90355,8,143,872,Python,NOASSERTION,2020-06-13,2026-08-10,False,False,False,,time-series|deep-learning|synthetic-data|data-generation|synthetic-data-generation|sdv|generative-adversarial-network,"Synthetic Data Generation for mixed-type, multivariate time series.",ok,2026-08-18,,,,,,,,,,,
VincentGranville/Main,VincentGranville,User,md,100,33,6,178,1,VincentGranville,0,,,0,0,44335,Python,,2022-11-27,2024-09-13,False,False,False,https://mltechniques.com/product/ebook-synthetic-data/,explainable-ai|generative-adversarial-network|generative-ai|generative-models|machine-learning|synthetic-data|gan,"Main folder. Material related to my books on synthetic data and generative AI. Also contains documents blending components from several folders, or covering topics spanning across multiple folders..",ok,2026-08-14,,,,,,,,,,,
sunchang0124/dp_cgans,sunchang0124,User,ct|rdt,99,28,2,109,8,sunchang0124|vemonet|cudillal|Chang Sun|Chang Sun,0,dp-cgans,,0,2,519,Python,MIT,2021-11-08,2026-05-12,False,False,False,,differential-privacy|gan|synthesizer|synthetic-data,A library to generate synthetic tabular or RDF data using Conditional Generative Adversary Networks (GANs) combined with Differential Privacy techniques.,ok,2026-08-14,,,,,,,,,,,
feedzai/bank-account-fraud,feedzai,Organization,ct,89,9,5,29,5,fdz-sergio-jesus|saleiro|jose.pombal|feedzaiadmin|sgpjesus,0,,,2,1,1192,Jupyter Notebook,NOASSERTION,2022-06-15,2023-12-21,False,False,False,,,"Supporting documentation for the paper ""Turning the Tables: Biased, Imbalanced, Dynamic Tabular Datasets for ML Evaluation"", and the Bank Account Fraud suite of datasets.",ok,2026-08-14,,,,,,,,,,,
abdullahkarasan/mlfrm,abdullahkarasan,User,ct|ev,88,56,5,70,1,abdullahkarasan,0,,,10,1,33005,Jupyter Notebook,NOASSERTION,2021-12-01,2023-01-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DTiapan/ai-agents-handbook,DTiapan,User,req,87,18,3,40,2,ajasbakran|DTiapan,0,,,0,1,14748,Python,MIT,2024-10-26,2025-04-22,False,False,False,,ai|aiagents|llm-powered-agents,"Welcome to AI Agents Handbook — your all-in-one guide for building AI agents, from basics to advanced techniques. Explore code, tutorials, and resources for beginners to experts!",ok,2026-08-14,,,,,,,,,,,
Pushkar-v/Generating-Synthetic-Data-using-GANs,Pushkar-v,User,ct,81,26,2,33,1,Pushkar-v,0,,,1,0,13276,Jupyter Notebook,,2020-02-20,2020-04-29,False,False,False,,,Generating Tabular Synthetic Data using State of the Art GAN architecture,ok,2026-08-14,,,,,,,,,,,
AI-Makerspace/AI-Makerspace,AI-Makerspace,Organization,req,74,38,8,329,14,alihussainia|afiDPS|SudhanshuBlaze|abouslima|devansh-srivastav,0,,,0,103,245064,JavaScript,Apache-2.0,2022-01-10,2026-03-16,False,False,False,https://www.linkedin.com/showcase/ai-makerspace/?viewAsMember=true,dvc-pipeline|fastapi|generative-adversarial-network|googlecloudplatform|huggingface|machinelearning|pycaret|tableau|transformers|neural-style-transfer|vertex-ai|kubernetes-deployment|virtual-assistant|gpt|sagemaker|claudecode|mcp,AI Makerspace: Blueprints for developing AI applications with cutting-edge technologies.,ok,2026-08-14,,,,,,,,,,,
PacktPublishing/Machine-Learning-Engineering-on-AWS,PacktPublishing,Organization,ct,73,47,3,183,6,joshualat|Karanspackt|Packt-ITService|utkarsha-Packt|al3xdm,0,,,1,0,33447,Jupyter Notebook,,2021-12-29,2026-03-02,False,False,False,,,"Machine Learning Engineering on AWS, published by Packt",ok,2026-08-14,,,,,,,,,,,
traindb-project/traindb,traindb-project,Organization,rdt,73,3,4,645,5,taewhi|hagia76|ChoonseoPark|JohyeonKang|kihyuk-nam,15,,,1,25,13181,Java,Apache-2.0,2021-09-08,2024-12-18,False,False,False,https://traindb-project.github.io/,,ML model-based approximate query processing engine,ok,2026-08-14,,,,,,,,,,,
raphaelmansuy/digital_palace,raphaelmansuy,User,ev,72,11,4,772,3,raphaelmansuy|Copilot|AG2AI-Admin,0,,,0,9,78467,Python,,2023-09-03,2025-11-15,False,False,False,https://www.elitizon.com,ai|data|data-engineering,My Digital Palace - A Personal Journal for Reflection - A place to store all my thoughts,ok,2026-08-14,,,,,,,,,,,
martinjurkovic/syntherela,martinjurkovic,User,hma|md|mt|req,66,2,3,16,2,martinjurkovic|ValterH,0,syntherela,,7,29,7340,Python,MIT,2024-02-05,2026-06-09,False,False,False,,benchmark|deep-learning|graph-neural-networks|machine-learning|pytorch|pytorch-geometric|relational-data|relational-deep-learning|synthetic-data|tabular-data,A package for benchmarking synthetic relational data generation methods,ok,2026-08-14,,,,,,,,,,,
